+------------------------------------------------------+--------------------------------+----------+----------------+------------------------+------------------------+---------------+
|                         TYPE                         |          DESCRIPTION           |  FILES   | VOLUMN (BYTE)  |       BEGIN DATE       |        END DATE        | ROLLING DAYS  |
+------------------------------------------------------+--------------------------------+----------+----------------+------------------------+------------------------+---------------+
| 3DIMG_L2B_SST                                        | INSAT-3D Level 2B sea surface  | 2898     | 45558837721    | 2023-04-28 05:00:09+00 | 2023-07-27 05:26:58+00 | 90            |
|                                                      | temperature product            |          |                |                        |                        |               |
| 3DIMG_L3B_SST                                        | INSAT-3D Level 3B daily sea    | 64       | 590475579      | 2023-04-27 00:00:00+00 | 2023-07-26 23:59:59+00 | 90            |
|                                                      | surface temperature product    |          |                |                        |                        |               |
| 3RIMG_L2B_SST                                        | INSAT-3DR Level 2B sea surface | 2531     | 39614514032    | 2023-04-28 04:45:30+00 | 2023-07-27 05:12:20+00 | 90            |
|                                                      | temperature product            |          |                |                        |                        |               |
| 3RIMG_L3B_SST                                        | INSAT-3DR Level 3B daily sea   | 57       | 525123836      | 2023-04-27 00:00:00+00 | 2023-07-26 23:59:59+00 | 90            |
|                                                      | surface temperature product    |          |                |                        |                        |               |
| ABI-ASOS                                             | GOESR Series ABI satellite     | 21715    | 551010375      | 2025-05-02 20:50:21+00 | 2025-08-02 01:59:53+00 | 90            |
|                                                      | derived (FD) cloud information |          |                |                        |                        |               |
|                                                      | for mid (cloud tops 631-400    |          |                |                        |                        |               |
|                                                      | mb) and high level (cld tops   |          |                |                        |                        |               |
|                                                      | above 400 mb) in plain text    |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| ABI-ASOS-QCINFO                                      | GOESR Series ABI Satellite     | 12336    | 1662676265     | 2025-03-25 15:50:22+00 | 2025-06-23 15:59:53+00 | 90            |
|                                                      | derived (FD) cloud product     |          |                |                        |                        |               |
|                                                      | quality information            |          |                |                        |                        |               |
| ABI-FLOOD-DAILY-NC                                   | GOES-R ABI daily flood product | 368      | 900847358      | 2025-05-02 09:20:21+00 | 2025-08-01 01:49:53+00 | 90            |
|                                                      | in netCDF format               |          |                |                        |                        |               |
| ABI-FLOOD-DAILY-PNG                                  | GOES-R ABI daily flood product | 364      | 209591214      | 2025-05-02 09:20:21+00 | 2025-08-01 01:49:53+00 | 90            |
|                                                      | in PNG format                  |          |                |                        |                        |               |
| ABI-FLOOD-DAILY-SHP                                  | GOES-R ABI daily flood product | 368      | 150421596      | 2025-05-02 09:20:21+00 | 2025-08-01 01:49:53+00 | 90            |
|                                                      | in ShapeFile format            |          |                |                        |                        |               |
| ABI-FLOOD-DAILY-TIF                                  | GOES-R ABI daily flood product | 368      | 4628367440     | 2025-05-02 09:20:21+00 | 2025-08-01 01:49:53+00 | 90            |
|                                                      | in TIF format                  |          |                |                        |                        |               |
| ABI-FLOOD-HOURLY-NC                                  | GOES-R ABI hourly flood        | 5098     | 10660581674    | 2025-05-02 09:20:21+00 | 2025-08-01 23:59:52+00 | 90            |
|                                                      | product in netCDF format       |          |                |                        |                        |               |
| ABI-FLOOD-HOURLY-PNG                                 | GOES-R ABI hourly flood        | 5055     | 2507339037     | 2025-05-02 09:20:21+00 | 2025-08-01 23:59:53+00 | 90            |
|                                                      | product in PNG format          |          |                |                        |                        |               |
| ABI-FLOOD-HOURLY-SHP                                 | GOES-R ABI hourly flood        | 5103     | 1562880386     | 2025-05-02 09:20:21+00 | 2025-08-02 00:29:52+00 | 90            |
|                                                      | product in ShapeFile format    |          |                |                        |                        |               |
| ABI-FLOOD-HOURLY-TIF                                 | GOES-R ABI hourly flood        | 5102     | 64782734831    | 2025-05-02 09:20:21+00 | 2025-08-02 01:49:53+00 | 90            |
|                                                      | product in TIF format          |          |                |                        |                        |               |
